Row Labels,Sum of Quantity
18,9
11/13/2021,419
7,11
8,56
9,66
10,62
11,78
12,88
13,1
16,15
17,34
18,8
11/14/2021,630
7,27
8,104
9,157
10,157
11,121
12,64
11/15/2021,283
7,5
8,43
9,22
10,41
11,73
12,52
13,5
16,12
17,18
18,12
11/16/2021,253
7,4
8,33
9,25
10,36
11,41
12,55
16,25
17,21
18,13
11/18/2021,284
7,3
8,48
9,49
10,30
11,34
12,65
16,16
17,19
18,20
11/19/2021,326
7,20
8,45
9,24
10,32
11,64
12,81
16,33
17,15
18,12
11/20/2021,398
7,9
8,30
9,89
10,97
11,57
12,75
13,5
16,22
17,8
18,6
11/21/2021,524
7,16
8,73
9,111
10,136
11,122
12,65
13,1
11/22/2021,261
7,24
8,13
9,28
10,41
11,52
12,53
13,1
16,28
17,18
18,3
11/23/2021,267
7,2
8,29
9,18
10,47
11,53
12,58
13,5
16,19
17,30
18,6
11/25/2021,310
7,12
8,18
9,27
10,47
11,76
12,43
16,35
17,40
18,12
11/26/2021,263
7,11
8,19
9,19
10,25
11,68
12,71
13,1
16,22
17,17
18,10
11/27/2021,360
7,2
8,30
9,69
10,63
11,99
12,53
15,3
16,26
17,6
18,9
11/28/2021,587
7,17
8,120
9,122
10,117
11,130
12,81
11/29/2021,280
7,2
8,39
9,25
10,46
11,40
12,47
16,34
17,45
18,2
11/30/2021,312
7,6
8,56
9,56
10,56
11,53
12,47
15,1
16,6
17,19
18,12
12/2/2021,240
7,4
8,41
9,27
10,50
11,34
12,42
16,15
17,23
18,4
12/3/2021,289
7,7
8,74
9,24
10,35
11,51
12,35
16,33
17,20
18,10
12/4/2021,318
7,3
8,41
9,52
10,60
11,64
12,44
15,5
16,30
17,13
18,6
12/5/2021,581
7,22
8,105
9,106
10,157
11,131
12,60
12/9/2021,244
7,21
8,17
9,56
10,28
11,35
12,33
15,1
16,13
17,27
18,13
12/10/2021,270
7,7
8,18
9,33
10,31
11,74
12,43
16,20
17,40
18,4
12/11/2021,366
7,6
8,47
9,82
10,49
11,86
12,43
16,13
17,34
18,6
12/12/2021,556
7,12
8,79
9,127
10,154
11,132
12,52
12/13/2021,289
7,17
8,18
9,24
10,57
11,54
12,65
16,29
17,22
18,3
12/14/2021,288
7,13
8,33
9,26
10,43
11,43
12,65
16,35
17,21
18,9
12/16/2021,309
7,9
8,40
9,36
10,44
11,71
12,43
16,31
17,31
18,4
12/17/2021,399
7,32
8,64
9,41
10,37
11,68
12,61
16,67
17,25
18,4
12/18/2021,414
7,12
8,38
9,42
10,70
11,112
12,53
13,1
16,22
17,46
18,18
12/19/2021,594
7,29
8,141
9,77
10,142
11,131
12,72
13,2
12/20/2021,392
7,7
8,45
9,51
10,70
11,69
12,70
16,39
17,35
18,6
12/21/2021,433
7,22
8,62
9,50
10,81
11,82
12,66
13,1
16,29
17,27
18,13
12/22/2021,370
7,4
8,36
9,38
10,98
11,81
12,48
16,26
17,33
18,6
12/23/2021,450
7,17
8,27
9,65
10,83
11,91
12,73
16,35
17,35
18,24
12/24/2021,1042
7,8
8,84
9,175
10,275
11,204
12,111
13,13
16,122
17,47
18,3
12/25/2021,656
7,12
8,127
9,171
10,116
11,164
12,66
12/26/2021,735
7,14
8,114
9,119
10,181
11,228
12,77
13,2
12/27/2021,506
8,64
9,99
10,114
11,94
12,59
13,2
16,32
17,27
18,15
12/28/2021,524
7,11
8,49
9,101
10,107
11,106
12,76
16,29
17,37
18,8
12/29/2021,458
8,27
9,121
10,47
11,89
12,86
16,37
17,43
18,8
12/30/2021,492
7,23
8,50
9,74
10,73
11,103
12,59
13,4
16,39
17,49
18,18
12/31/2021,923
7,26
8,75
9,179
10,167
11,211
12,131
13,7
16,88
17,38
18,1
1/2/2022,879
7,29
8,122
9,176
10,182
11,217
12,153
1/3/2022,357
7,12
8,38
9,49
10,61
11,105
12,43
16,24
17,19
18,6
1/4/2022,67
16,34
17,27
18,6
1/6/2022,324
7,3
8,27
9,34
10,65
11,76
12,40
16,49
17,19
18,11
1/7/2022,285
7,5
8,16
9,26
10,59
11,34
12,55
16,47
17,34
18,9
1/8/2022,311
7,5
8,20
9,31
10,74
11,63
12,56
16,33
17,9
18,20
1/9/2022,482
7,16
8,62
9,97
10,121
11,122
12,64
1/10/2022,258
8,29
9,32
10,42
11,51
12,49
13,1
16,12
17,40
18,2
1/11/2022,280
7,4
8,30
9,36
10,47
11,63
12,34
13,1
15,2
16,24
17,19
18,20
1/13/2022,232
7,1
8,35
9,41
10,38
11,34
12,56
16,7
17,14
18,6
1/14/2022,297
8,49
9,15
10,39
11,42
12,56
13,4
16,35
17,44
18,13
1/15/2022,313
7,10
8,23
9,43
10,72
11,79
12,44
13,5
16,15
17,20
18,2
1/16/2022,489
7,16
8,96
9,86
10,110
11,136
12,44
13,1
1/17/2022,286
7,8
8,18
9,21
10,47
11,76
12,48
13,4
16,25
17,25
18,14
1/18/2022,255
7,5
8,28
9,17
10,41
11,45
12,48
16,38
17,26
18,7
1/20/2022,303
7,8
8,43
9,23
10,50
11,85
12,57
16,10
17,23
18,4
1/21/2022,303
7,10
8,41
9,11
10,36
11,73
12,44
16,44
17,37
18,7
1/22/2022,353
7,7
8,28
9,58
10,59
11,73
12,63
16,18
17,40
18,7
1/23/2022,544
7,8
8,91
9,76
10,144
11,166
12,57
13,2
1/24/2022,266
8,13
9,26
10,40
11,54
12,46
13,1
16,35
17,43
18,8
1/25/2022,283
7,2
8,30
9,30
10,46
11,44
12,45
15,2
16,39
17,32
18,13
1/27/2022,358
7,5
8,38
9,31
10,55
11,64
12,64
16,51
17,31
18,19
1/28/2022,279
7,25
8,48
9,17
10,57
11,41
12,45
13,1
16,19
17,18
18,8
1/29/2022,345
7,4
8,51
9,61
10,71
11,65
12,39
16,24
17,14
18,16
1/30/2022,532
7,12
8,90
9,90
10,144
11,144
12,52
1/31/2022,271
7,16
8,32
9,22
10,32
11,56
12,47
16,30
17,17
18,19
2/1/2022,258
7,5
8,28
9,22
10,64
11,49
12,30
16,23
17,29
18,8
2/3/2022,294
7,22
8,24
9,28
10,58
11,33
12,48
16,33
17,19
18,29
2/4/2022,270
7,10
8,13
9,18
10,59
11,60
12,71
16,7
17,23
18,9
2/5/2022,350
7,10
8,29
9,35
10,70
11,81
12,53
16,45
17,17
18,10
2/6/2022,603
7,28
8,81
9,131
10,131
11,175
12,54
13,3
2/7/2022,329
7,5
8,32
9,31
10,49
11,80
12,50
13,4
16,32
17,27
18,19
2/8/2022,356
7,5
8,32
9,39
10,64
11,88
12,47
13,3
16,33
17,35
18,10
2/10/2022,356
7,11
8,14
9,66
10,51
11,85
12,55
13,1
16,33
17,33
18,7
2/11/2022,345
7,6
8,34
9,26
10,62
11,75
12,80
13,1
16,32
17,20
18,9
2/12/2022,456
7,5
8,28
9,52
10,94
11,116
12,90
13,13
15,2
16,24
17,22
18,10
2/13/2022,704
7,21
8,103
9,122
10,228
11,147
12,83
2/14/2022,412
7,8
8,39
9,43
10,80
11,81
12,59
16,48
17,39
18,15
2/15/2022,536
7,19
8,94
9,61
10,74
11,82
12,99
13,3
16,45
17,50
18,9
2/17/2022,469
7,23
8,24
9,48
10,79
11,90
12,85
13,7
16,55
17,38
18,20
2/18/2022,515
7,21
8,54
9,75
10,79
11,120
12,88
13,2
16,23
17,24
18,29
2/19/2022,601
7,4
8,78
9,90
10,101
11,138
12,84
16,43
17,43
18,20
2/20/2022,858
7,40
8,182
9,192
10,180
11,183
12,81
2/21/2022,387
7,17
8,43
9,42
10,71
11,79
12,58
16,29
17,19
18,29
2/22/2022,419
7,9
8,27
9,56
10,90
11,79
12,49
16,28
17,41
18,39
19,1
2/24/2022,487
7,21
8,42
9,49
10,92
11,87
12,77
13,2
16,48
17,30
18,27
19,12
2/25/2022,520
7,32
8,37
9,45
10,96
11,97
12,73
13,8
16,40
17,67
18,25
2/26/2022,656
7,26
8,66
9,110
10,124
11,133
12,94
13,4
16,30
17,32
18,37
2/27/2022,948
7,29
8,192
9,141
10,290
11,224
12,72
2/28/2022,402
7,4
8,38
9,22
10,62
11,57
12,104
16,20
17,54
18,41
3/1/2022,474
7,11
8,53
9,36
10,97
11,92
12,68
13,6
16,33
17,54
18,22
19,2
3/2/2022,355
7,26
8,22
9,24
10,53
11,85
12,47
13,2
16,35
17,38
18,23
3/3/2022,357
7,13
8,36
9,54
10,56
11,60
12,50
13,2
15,2
16,38
17,33
18,13
3/4/2022,441
7,4
8,55
9,45
10,90
11,82
12,64
16,33
17,32
18,35
19,1
3/5/2022,602
7,18
8,62
9,94
10,102
11,128
12,115
13,2
16,17
17,37
18,27
3/6/2022,800
7,23
8,125
9,224
10,176
11,182
12,70
3/7/2022,400
7,13
8,46
9,48
10,59
11,88
12,68
13,4
16,15
17,37
18,22
3/8/2022,331
7,20
8,46
9,42
10,64
11,58
12,46
13,2
16,25
17,7
18,21
3/9/2022,233
7,15
8,20
9,51
10,38
11,28
12,48
13,2
16,8
17,20
18,3
3/10/2022,248
7,12
8,19
9,26
10,26
11,55
12,39
13,3
16,27
17,16
18,25
3/11/2022,270
8,22
9,42
10,33
11,51
12,43
16,41
17,17
18,21
3/12/2022,347
7,5
8,63
9,38
10,81
11,59
12,46
16,7
17,17
18,31
3/13/2022,609
7,18
8,101
9,80
10,192
11,151
12,66
13,1
3/14/2022,317
7,17
8,26
9,13
10,58
11,74
12,58
13,10
16,27
17,24
18,10
3/15/2022,291
7,22
8,39
9,30
10,38
11,45
12,55
13,3
15,3
16,20
17,21
18,15
3/16/2022,211
8,38
9,15
10,27
11,62
12,35
16,6
17,22
18,6
3/17/2022,254
7,11
8,43
9,26
10,46
11,51
12,54
16,12
17,7
18,4
3/18/2022,295
7,18
8,55
9,17
10,40
11,50
12,39
16,28
17,24
18,24
3/19/2022,416
7,14
8,91
9,38
10,59
11,71
12,53
16,18
17,22
18,50
3/20/2022,693
7,27
8,207
9,75
10,124
11,166
12,91
13,3
3/21/2022,353
7,28
8,45
9,43
10,55
11,60
12,56
16,22
17,25
18,18
19,1
3/22/2022,318
7,12
8,35
9,35
10,38
11,65
12,58
13,1
16,19
17,34
18,20
19,1
3/23/2022,279
7,23
8,24
9,22
10,61
11,45
12,60
16,11
17,27
18,6
3/24/2022,270
7,19
8,23
9,25
10,62
11,40
12,53
15,4
16,9
17,18
18,17
3/25/2022,325
7,23
8,47
9,33
10,64
11,37
12,51
16,38
17,11
18,21
3/26/2022,530
7,9
8,62
9,89
10,121
11,111
12,59
16,30
17,33
18,16
3/27/2022,649
7,21
8,72
9,119
10,150
11,205
12,77
13,5
3/28/2022,337
7,14
8,32
9,19
10,51
11,88
12,50
13,2
16,23
17,39
18,19
3/29/2022,311
7,4
8,26
9,23
10,42
11,88
12,63
13,1
16,23
17,22
18,19
3/30/2022,224
7,3
8,32
9,29
10,18
11,57
12,24
13,1
16,13
17,30
18,15
19,2
3/31/2022,249
7,4
8,28
9,22
10,11
11,60
12,42
16,29
17,37
18,16
4/1/2022,349
7,20
8,48
9,32
10,56
11,50
12,62
16,38
17,22
18,21
4/2/2022,396
8,47
9,73
10,77
11,103
12,47
13,7
16,12
17,23
18,7
4/3/2022,568
7,8
8,107
9,83
10,157
11,168
12,45
4/4/2022,298
7,9
8,25
9,45
10,42
11,57
12,60
16,18
17,22
18,20
4/5/2022,337
7,16
8,41
9,31
10,70
11,77
12,47
16,22
17,22
18,11
4/6/2022,255
7,4
8,31
9,33
10,43
11,46
12,54
16,25
17,11
18,8
4/7/2022,319
7,23
8,41
9,41
10,27
11,58
12,55
16,14
17,38
18,22
4/8/2022,255
7,9
8,37
9,25
10,24
11,46
12,50
13,2
16,23
17,18
18,21
4/9/2022,426
7,40
8,29
9,87
10,51
11,107
12,58
13,7
16,8
17,27
18,12
4/10/2022,641
7,16
8,129
9,149
10,148
11,127
12,72
4/11/2022,438
7,9
8,36
9,53
10,69
11,86
12,97
13,2
16,19
17,34
18,28
19,5
4/12/2022,344
7,4
8,42
9,50
10,41
11,70
12,60
13,1
16,21
17,33
18,19
19,3
4/13/2022,330
7,14
8,25
9,57
10,22
11,57
12,76
16,26
17,22
18,31
4/14/2022,409
7,5
8,38
9,59
10,68
11,79
12,57
13,10
15,4
16,28
17,35
18,26
4/15/2022,497
7,3
8,78
9,46
10,94
11,72
12,100
16,25
17,47
18,26
19,6
4/16/2022,951
7,17
8,140
9,205
10,177
11,173
12,108
16,35
17,55
18,39
19,2
4/17/2022,826
7,46
8,312
9,200
11,203
12,65
4/18/2022,1063
7,16
8,253
9,225
10,227
11,236
12,106
4/19/2022,525
7,7
8,107
9,65
10,73
11,93
12,90
13,20
16,22
17,25
18,23
4/20/2022,472
7,14
8,37
9,58
10,100
11,111
12,92
13,1
16,13
17,20
18,26
4/21/2022,677
7,23
8,97
9,107
10,110
11,148
12,106
13,3
15,2
16,28
17,29
18,24
4/22/2022,529
7,23
8,77
9,50
10,113
11,98
12,83
13,1
16,25
17,30
18,27
19,2
4/23/2022,494
7,32
8,73
9,53
10,73
11,116
12,74
13,2
16,13
17,38
18,20
4/24/2022,711
7,17
8,154
9,171
10,156
11,153
12,60
4/25/2022,428
7,13
8,40
9,26
10,74
11,82
12,74
13,1
16,50
17,38
18,30
4/26/2022,333
7,26
8,26
9,30
10,50
11,74
12,61
16,28
17,18
18,20
4/27/2022,445
7,23
8,41
9,70
10,63
11,96
12,75
13,1
16,15
17,42
18,19
4/28/2022,387
7,13
8,41
9,44
10,80
11,87
12,44
13,1
16,33
17,26
18,17
19,1
4/29/2022,439
7,31
8,55
9,79
10,86
11,77
12,49
16,12
17,33
18,17
4/30/2022,783
7,61
8,118
9,111
10,120
11,150
12,124
16,29
17,42
18,28
5/1/2022,1007
7,64
8,159
9,237
10,255
11,192
12,100
5/2/2022,553
7,13
8,65
9,55
10,114
11,92
12,91
13,1
16,43
17,38
18,41
5/3/2022,402
7,4
8,52
9,50
10,61
11,81
12,82
13,1
16,13
17,19
18,39
5/5/2022,454
7,32
8,21
9,51
10,88
11,102
12,60
16,15
17,53
18,32
5/6/2022,473
7,13
8,56
9,70
10,82
11,96
12,82
16,28
17,30
18,14
19,2
5/7/2022,557
7,14
8,100
9,83
10,99
11,97
12,84
13,2
16,22
17,17
18,37
19,2
5/8/2022,817
7,49
8,112
9,176
10,219
11,162
12,99
5/9/2022,401
7,20
8,53
9,54
10,56
11,70
12,36
16,18
17,41
18,53
5/10/2022,356
7,15
8,71
9,44
10,54
11,52
12,55
16,18
17,20
18,27
5/11/2022,315
7,16
8,36
9,32
10,38
11,54
12,62
16,32
17,24
18,21
5/12/2022,365
7,16
8,35
9,40
10,62
11,69
12,64
13,1
16,21
17,24
18,31
19,2
5/13/2022,366
7,26
8,43
9,51
10,59
11,60
12,41
13,2
16,22
17,33
18,29
5/14/2022,540
7,15
8,86
9,86
10,91
11,98
12,83
13,16
16,31
17,15
18,19
5/15/2022,826
7,47
8,141
9,177
10,193
11,183
12,83
13,2
5/16/2022,411
7,8
8,48
9,69
10,65
11,67
12,43
16,31
17,44
18,36
5/17/2022,335
7,3
8,60
9,47
10,67
11,48
12,46
16,17
17,21
18,26
5/18/2022,352
7,12
8,51
9,44
10,54
11,50
12,66
13,2
16,28
17,31
18,14
5/19/2022,356
7,13
8,47
9,33
10,52
11,92
12,43
13,6
16,18
17,31
18,21
5/20/2022,414
7,15
8,61
9,60
10,77
11,51
12,63
16,19
17,43
18,24
19,1
5/21/2022,525
7,21
8,114
9,103
10,72
11,75
12,86
13,1
16,14
17,20
18,19
5/22/2022,777
7,57
8,146
9,156
10,178
11,159
12,79
13,2
5/23/2022,352
7,14
8,55
9,19
10,40
11,78
12,57
16,26
17,30
18,33
5/24/2022,407
7,7
8,54
9,81
10,80
11,62
12,47
16,20
17,24
18,32
5/25/2022,524
7,3
8,49
9,67
10,92
11,80
12,72
16,32
17,50
18,69
19,10
5/26/2022,1081
7,45
8,180
9,249
10,234
11,266
12,103
13,4
5/27/2022,1122
7,71
8,179
9,178
10,196
11,189
12,164
16,33
17,33
18,78
19,1
5/28/2022,1194
7,58
8,212
9,265
10,256
11,153
12,105
13,2
16,36
17,47
18,54
19,6
5/29/2022,1483
7,115
8,304
9,396
10,317
11,245
12,106
5/30/2022,498
7,27
8,66
9,82
10,107
11,52
12,56
13,3
16,28
17,29
18,46
19,2
5/31/2022,380
7,11
8,61
9,46
10,56
11,91
12,47
16,27
17,26
18,15
6/1/2022,416
7,9
8,56
9,60
10,52
11,76
12,63
16,29
17,41
18,30
6/2/2022,356
7,17
8,54
9,36
10,40
11,93
12,55
13,0
16,15
17,28
18,18
6/3/2022,449
7,15
8,46
9,55
10,98
11,46
12,62
13,1
16,40
17,60
18,25
19,1
6/4/2022,700
7,31
8,150
9,89
10,116
11,92
12,87
13,7
16,54
17,28
18,44
19,2
6/5/2022,1178
7,60
8,219
9,322
10,241
11,213
12,123
6/6/2022,1057
7,51
8,212
9,291
10,216
11,203
12,84
6/7/2022,410
7,18
8,42
9,39
10,81
11,74
12,74
16,30
17,16
18,35
19,1
6/8/2022,341
7,6
8,36
9,59
10,65
11,63
12,48
16,27
17,20
18,17
6/9/2022,357
7,21
8,50
9,39
10,47
11,81
12,46
13,2
15,3
16,18
17,30
18,20
6/10/2022,356
7,14
8,52
9,43
10,57
11,51
12,70
13,8
16,19
17,24
18,18
6/11/2022,638
7,18
8,115
9,78
10,127
11,117
12,59
13,4
16,46
17,37
18,27
19,10
6/12/2022,776
7,19
8,119
9,180
10,175
11,185
12,98
6/13/2022,428
7,24
8,65
9,60
10,78
11,61
12,62
16,13
17,34
18,31
6/14/2022,400
7,16
8,67
9,44
10,45
11,84
12,54
13,1
16,18
17,30
18,41
6/15/2022,381
7,26
8,46
9,59
10,67
11,76
12,47
13,5
16,20
17,23
18,12
6/16/2022,362
7,9
8,51
9,30
10,69
11,76
12,54
13,14
16,7
17,33
18,19
6/17/2022,376
7,7
8,46
9,50
10,71
11,85
12,57
13,4
16,16
17,24
18,16
6/18/2022,659
7,19
8,157
9,160
10,124
11,76
12,55
13,2
16,13
17,42
18,11
6/19/2022,934
7,48
8,147
9,277
10,186
11,191
12,85
6/20/2022,402
7,19
8,77
9,36
10,65
11,73
12,64
13,12
16,16
17,22
18,16
19,2
6/21/2022,418
7,13
8,90
9,52
10,46
11,66
12,52
13,2
16,28
17,36
18,33
6/22/2022,332
7,16
8,47
9,46
10,50
11,52
12,61
13,1
16,14
17,29
18,15
19,1
6/23/2022,398
7,13
8,36
9,79
10,98
11,58
12,38
16,15
17,26
18,35
6/24/2022,452
7,31
8,57
9,58
10,55
11,100
12,70
13,3
16,18
17,38
18,16
19,6
6/25/2022,601
7,14
8,101
9,60
10,103
11,126
12,91
16,39
17,31
18,36
6/26/2022,832
7,64
8,126
9,138
10,231
11,176
12,93
13,4
6/27/2022,483
7,47
8,54
9,81
10,54
11,100
12,59
16,28
17,40
18,20
6/28/2022,386
7,7
8,44
9,59
10,62
11,66
12,69
16,30
17,13
18,36
6/29/2022,342
7,1
8,53
9,28
10,50
11,64
12,60
13,2
16,11
17,24
18,49
6/30/2022,439
8,51
9,80
10,62
11,80
12,55
13,8
16,19
17,66
18,18
7/1/2022,482
7,17
8,61
9,75
10,79
11,86
12,84
13,2
16,26
17,27
18,21
19,4
7/2/2022,609
7,14
8,50
9,129
10,126
11,119
12,60
13,4
16,44
17,35
18,28
7/3/2022,1015
7,25
8,158
9,214
10,236
11,265
12,117
7/4/2022,561
7,26
8,71
9,99
10,76
11,112
12,80
13,3
16,31
17,29
18,33
19,1
7/5/2022,512
7,7
8,76
9,90
10,88
11,77
12,57
13,2
16,23
17,60
18,31
19,1
7/6/2022,517
7,26
8,69
9,77
10,69
11,108
12,77
16,24
17,24
18,39
19,4
7/7/2022,580
7,25
8,74
9,57
10,125
11,118
12,77
16,42
17,43
18,19
7/8/2022,581
7,23
8,87
9,108
10,80
11,95
12,59
15,4
16,23
17,56
18,45
19,1
7/9/2022,876
7,30
8,129
9,218
10,179
11,134
12,81
13,7
16,23
17,49
18,26
7/10/2022,1195
7,81
8,264
9,287
10,207
11,241
12,115
7/11/2022,845
7,65
8,133
9,143
10,169
11,121
12,118
16,29
17,37
18,28
19,2
7/12/2022,725
7,37
8,118
9,139
10,105
11,118
12,101
13,13
16,25
17,33
18,34
19,2
7/13/2022,858
7,16
8,143
9,129
10,190
11,166
12,83
13,9
16,38
17,27
18,57
7/14/2022,1340
7,70
8,284
9,290
10,279
11,284
12,133
7/15/2022,1268
7,112
8,344
9,294
10,208
11,185
12,122
13,3
7/16/2022,1535
7,110
8,346
9,253
10,220
11,269
12,160
13,18
16,29
17,75
18,50
19,5
7/17/2022,1646
7,124
8,303
9,376
10,366
11,331
12,142
13,4
7/18/2022,1023
7,102
8,184
9,153
10,200
11,141
12,119
13,4
16,30
17,33
18,56
19,1
7/19/2022,827
7,41
8,151
9,152
10,126
11,115
12,104
13,2
16,38
17,48
18,44
19,6
7/20/2022,809
7,20
8,142
9,127
10,110
11,161
12,110
15,1
16,32
17,65
18,36
19,5
7/21/2022,863
7,45
8,182
9,124
10,104
11,151
12,98
13,11
16,29
17,54
18,59
19,6
7/22/2022,859
7,26
8,143
9,130
10,168
11,123
12,109
13,10
16,55
17,52
18,42
19,1
7/23/2022,1178
7,36
8,221
9,189
10,226
11,178
12,140
16,77
17,51
18,50
19,10
7/24/2022,1350
7,83
8,264
9,287
10,298
11,271
12,143
13,4
7/25/2022,1030
7,50
8,144
9,204
10,159
11,173
12,157
15,1
16,31
17,62
18,46
19,3
7/26/2022,857
7,25
8,129
9,127
10,108
11,164
12,135
13,5
16,37
17,61
18,44
19,22
7/27/2022,793
7,45
8,146
9,118
10,130
11,144
12,102
16,36
17,39
18,33
7/28/2022,921
7,51
8,118
9,108
10,192
11,153
12,130
16,44
17,66
18,59
7/29/2022,802
7,60
8,98
9,101
10,135
11,138
12,194
16,23
17,30
18,23
7/30/2022,1173
7,46
8,241
9,277
10,173
11,167
12,109
16,51
17,43
18,48
19,18
7/31/2022,1562
7,103
8,272
9,394
10,317
11,313
12,161
13,2
8/1/2022,1152
7,47
8,236
9,143
10,219
11,202
12,126
13,2
16,39
17,60
18,69
19,9
8/2/2022,997
7,61
8,163
9,127
10,218
11,183
12,104
16,44
17,29
18,68
8/3/2022,949
7,61
8,107
9,139
10,166
11,209
12,114
13,3
16,48
17,43
18,59
8/4/2022,999
7,55
8,179
9,127
10,204
11,139
12,134
15,4
16,48
17,44
18,64
19,1
8/5/2022,1030
7,49
8,220
9,231
10,127
11,154
12,118
13,1
16,34
17,50
18,46
8/6/2022,1236
7,66
8,236
9,193
10,204
11,243
12,149
13,1
16,41
17,49
18,54
8/7/2022,1571
7,89
8,423
9,399
10,264
11,260
12,129
13,7
8/8/2022,1458
7,94
8,267
9,239
10,322
11,219
12,190
13,5
15,1
16,26
17,39
18,52
19,4
8/9/2022,1094
7,55
8,243
9,161
10,191
11,161
12,137
13,1
16,65
17,31
18,43
19,6
8/10/2022,1172
7,97
8,194
9,184
10,216
11,217
12,128
13,16
16,27
17,55
18,36
19,2
8/11/2022,1231
7,44
8,280
9,290
10,184
11,183
12,126
13,3
16,30
17,54
18,37
8/12/2022,1255
7,121
8,209
9,224
10,195
11,178
12,152
13,4
15,2
16,40
17,66
18,56
19,8
8/13/2022,1360
7,88
8,300
9,238
10,263
11,203
12,125
16,36
17,58
18,41
19,8
8/14/2022,1970
7,90
8,427
9,447
10,341
11,379
12,276
13,10
8/15/2022,1463
7,95
8,269
9,322
10,354
11,228
12,193
13,2
8/16/2022,1069
7,41
8,158
9,114
10,163
11,287
12,121
13,14
16,60
17,69
18,40
19,2
8/17/2022,1020
7,39
8,141
9,219
10,180
11,178
12,115
15,2
16,48
17,53
18,42
19,3
8/18/2022,1250
7,93
8,196
9,246
10,228
11,213
12,132
16,61
17,55
18,26
8/19/2022,970
7,32
8,150
9,196
10,104
11,184
12,181
16,62
17,35
18,26
8/20/2022,1268
7,68
8,149
9,245
10,248
11,196
12,120
13,1
16,59
17,76
18,80
19,26
8/21/2022,1554
7,50
8,260
9,343
10,316
11,377
12,203
13,5
8/22/2022,1009
7,55
8,195
9,120
10,140
11,232
12,127
13,4
16,49
17,39
18,48
8/23/2022,805
7,23
8,125
9,124
10,136
11,137
12,98
13,1
16,68
17,53
18,37
19,3
8/24/2022,819
7,17
8,121
9,152
10,138
11,156
12,80
13,13
15,1
16,24
17,67
18,50
8/25/2022,714
7,21
8,98
9,101
10,137
11,160
12,108
16,27
17,26
18,33
19,3
8/26/2022,652
7,67
8,77
9,134
10,87
11,125
12,76
15,1
16,17
17,31
18,33
19,4
8/27/2022,780
7,38
8,123
9,151
10,161
11,141
12,62
16,51
17,29
18,22
19,2
8/28/2022,1108
7,49
8,225
9,211
10,240
11,266
12,117
8/29/2022,587
7,22
8,118
9,90
10,109
11,97
12,71
16,35
17,22
18,23
8/30/2022,586
7,33
8,101
9,69
10,95
11,119
12,88
16,18
17,34
18,29
8/31/2022,417
7,10
8,84
9,59
10,72
11,112
12,80
9/2/2022,445
7,20
8,52
9,81
10,55
11,80
12,49
15,5
16,49
17,43
18,9
19,2
9/3/2022,605
7,16
8,87
9,67
10,130
11,157
12,73
13,3
16,15
17,36
18,21
9/4/2022,751
7,41
8,124
9,157
10,174
11,145
12,108
13,2
9/5/2022,490
7,31
8,89
9,52
10,101
11,72
12,59
16,11
17,59
18,16
9/6/2022,359
7,21
8,31
9,42
10,70
11,96
12,43
16,25
17,17
18,14
9/7/2022,375
7,6
8,51
9,38
10,45
11,94
12,56
13,3
16,17
17,32
18,33
9/8/2022,373
7,13
8,42
9,50
10,68
11,69
12,41
16,23
17,34
18,33
9/9/2022,432
7,36
8,87
9,21
10,68
11,66
12,53
16,45
17,36
18,20
9/10/2022,582
7,28
8,74
9,121
10,152
11,81
12,107
16,19
9/11/2022,907
7,55
8,226
9,187
10,196
11,156
12,87
9/12/2022,431
7,35
8,55
9,54
10,70
11,69
12,44
16,36
17,31
18,37
9/13/2022,325
7,1
8,41
9,64
10,74
11,42
12,48
16,18
17,21
18,16
9/14/2022,356
7,22
8,49
9,57
10,66
11,58
12,51
16,15
17,19
18,19
9/15/2022,380
7,29
8,43
9,48
10,51
11,50
12,51
13,6
16,18
17,45
18,39
9/16/2022,410
7,15
8,51
9,52
10,53
11,94
12,36
16,37
17,34
18,35
19,3
9/17/2022,589
7,41
8,71
9,73
10,95
11,121
12,102
16,18
17,44
18,24
9/18/2022,765
7,39
8,132
9,174
10,179
11,172
12,69
9/20/2022,372
7,7
8,47
9,63
10,64
11,52
12,59
16,42
17,26
18,12
9/21/2022,306
7,15
8,35
9,36
10,54
11,59
12,44
16,15
17,14
18,34
9/22/2022,357
7,6
8,63
9,46
10,62
11,52
12,63
16,21
17,9
18,35
9/23/2022,409
7,39
8,65
9,27
10,61
11,67
12,47
16,38
17,31
18,34
9/24/2022,534
7,20
8,56
9,81
10,93
11,103
12,102
13,1
16,15
17,34
18,29
9/25/2022,770
7,41
8,90
9,146
10,219
11,199
12,75
9/26/2022,399
8,58
9,50
10,81
11,85
12,53
16,20
17,33
18,19
9/27/2022,423
7,34
8,60
9,44
10,72
11,69
12,54
16,22
17,33
18,35
9/28/2022,357
7,10
8,37
9,33
10,90
11,70
12,67
16,13
17,17
18,20
9/29/2022,428
7,14
8,74
9,61
10,50
11,94
12,42
16,26
17,27
18,40
9/30/2022,503
7,35
8,54
9,55
10,96
11,68
12,74
15,10
16,51
17,23
18,37
Grand Total,359988
