Row Labels,Sum of Quantity
16,27
17,32
18,12
3/30/2021,466
7,11
8,56
9,64
10,90
11,89
12,70
13,3
16,32
17,27
18,24
4/1/2021,366
7,10
8,36
9,49
10,72
11,72
12,50
13,10
16,27
17,19
18,21
4/2/2021,519
7,15
8,61
9,56
10,86
11,103
12,79
13,1
16,39
17,48
18,31
4/3/2021,747
7,28
8,99
9,152
10,152
11,144
12,80
13,13
16,21
17,24
18,34
4/4/2021,1303
7,31
8,234
9,274
10,309
11,319
12,136
4/5/2021,706
7,17
8,99
9,130
10,211
11,175
12,74
4/6/2021,489
7,14
8,65
9,43
10,62
11,98
12,95
13,14
16,39
17,31
18,28
4/8/2021,446
7,9
8,62
9,43
10,60
11,81
12,103
13,2
16,27
17,36
18,23
4/9/2021,404
7,9
8,39
9,47
10,58
11,89
12,79
13,1
16,37
17,26
18,19
4/10/2021,574
7,16
8,71
9,80
10,86
11,118
12,101
13,4
16,57
17,23
18,18
4/11/2021,739
7,10
8,130
9,114
10,181
11,210
12,94
4/12/2021,486
7,19
8,56
9,41
10,100
11,82
12,106
16,21
17,31
18,30
4/13/2021,505
7,21
8,52
9,65
10,93
11,103
12,79
13,1
16,36
17,17
18,38
4/14/2021,369
7,6
8,43
9,30
10,78
11,54
12,85
13,5
16,9
17,29
18,30
4/15/2021,430
7,10
8,33
9,57
10,48
11,83
12,112
13,9
16,25
17,25
18,28
4/16/2021,542
7,18
8,72
9,56
10,67
11,114
12,68
13,19
16,41
17,42
18,45
4/17/2021,641
7,17
8,100
9,118
10,73
11,119
12,93
13,15
16,30
17,32
18,44
4/18/2021,998
7,54
8,165
9,229
10,278
11,191
12,81
4/19/2021,429
7,19
8,83
9,66
10,106
11,66
12,80
13,9
4/20/2021,572
7,24
8,84
9,56
10,85
11,121
12,103
13,7
16,28
17,41
18,23
4/21/2021,420
7,14
8,67
9,54
10,82
11,79
12,74
13,7
16,8
17,11
18,24
4/22/2021,600
7,22
8,47
9,86
10,121
11,121
12,103
13,3
15,4
16,23
17,45
18,25
4/23/2021,510
7,12
8,59
9,72
10,92
11,105
12,87
13,11
16,34
17,26
18,12
4/24/2021,709
7,69
8,130
9,123
10,119
11,82
12,86
13,8
16,46
17,23
18,23
4/25/2021,964
7,51
8,237
9,154
10,208
11,216
12,94
13,4
4/26/2021,430
7,19
8,87
9,42
10,55
11,60
12,98
13,9
16,15
17,29
18,16
4/27/2021,381
7,35
8,43
9,27
10,56
11,63
12,77
13,9
16,34
17,9
18,28
4/28/2021,399
7,9
8,71
9,32
10,65
11,71
12,76
13,14
15,2
16,10
17,25
18,24
4/29/2021,430
7,30
8,34
9,41
10,69
11,76
12,83
13,17
15,1
16,24
17,35
18,20
4/30/2021,446
7,13
8,51
9,55
10,54
11,87
12,71
13,20
16,36
17,37
18,22
5/1/2021,671
7,37
8,58
9,145
10,151
11,152
12,119
13,9
5/2/2021,868
7,56
8,131
9,160
10,245
11,167
12,109
5/3/2021,489
7,20
8,85
9,49
10,84
11,75
12,72
13,13
16,27
17,34
18,30
5/4/2021,433
7,18
8,56
9,51
10,64
11,87
12,76
13,8
16,11
17,21
18,41
5/5/2021,503
7,15
8,98
9,52
10,72
11,73
12,72
13,23
16,40
17,31
18,27
5/6/2021,428
7,9
8,54
9,65
10,52
11,86
12,38
13,19
16,27
17,34
18,44
5/7/2021,520
7,31
8,44
9,59
10,87
11,111
12,69
13,6
16,72
17,22
18,19
5/8/2021,806
7,33
8,110
9,159
10,215
11,182
12,89
13,18
5/9/2021,1005
7,17
8,215
9,195
10,247
11,271
12,60
5/10/2021,463
7,35
8,40
9,76
10,78
11,98
12,63
13,6
16,17
17,29
18,21
5/11/2021,448
7,10
8,62
9,58
10,83
11,70
12,58
13,10
16,39
17,38
18,20
5/12/2021,645
7,13
8,72
9,78
10,123
11,120
12,105
13,10
16,26
17,43
18,55
5/13/2021,1053
7,41
8,142
9,154
10,320
11,258
12,128
13,10
5/14/2021,1201
7,64
8,261
9,175
10,229
11,286
12,175
13,11
5/15/2021,1304
7,56
8,217
9,261
10,267
11,253
12,153
13,24
16,35
17,16
18,22
5/16/2021,1405
7,74
8,323
9,428
10,277
11,201
12,99
13,3
5/21/2021,363
7,26
8,43
